Frequency (Hz)	Level (dB)
395.672607	-77.140198
396.345520	-75.188972
397.018433	-74.197998
397.691345	-71.675507
398.364258	-63.760799
399.037170	-54.108734
399.710083	-54.392792
400.382996	-63.145954
401.055908	-67.570663
401.728821	-70.639755
402.401733	-76.171875
403.074646	-76.809685
403.747559	-78.976830
404.420471	-81.657234
405.093384	-80.726807
405.766296	-78.431190
406.439209	-79.164810
407.112122	-78.296616
407.785034	-76.936325
408.457947	-75.622246
409.130859	-73.702888
409.803772	-67.890549
410.476685	-63.226524
411.149597	-65.797295
411.822510	-74.316460
412.495422	-78.258987
413.168335	-78.822273
413.841248	-78.772865
414.514160	-78.716476
415.187073	-76.513390
415.859985	-78.331314
416.532898	-79.741417
417.205811	-80.792488
417.878723	-81.597305
418.551636	-81.635696
419.224548	-82.436890
419.897461	-81.639732
420.570374	-78.736900
421.243286	-80.298775
421.916199	-82.316025
422.589111	-81.343681
423.262024	-81.252037
423.934937	-81.743080
424.607849	-81.768105
425.280762	-81.475159
425.953674	-80.901085
426.626587	-80.299049
427.299500	-79.632988
427.972412	-79.629387
428.645325	-80.558731
429.318237	-81.956116
429.991150	-83.389153
430.664062	-84.051773
431.336975	-85.102509
432.009888	-85.544266
432.682800	-85.224770
433.355713	-85.620750
434.028625	-85.565315
434.701538	-85.124100
435.374451	-82.952728
436.047363	-84.014091
436.720276	-86.134171
437.393188	-86.349815
438.066101	-85.726273
438.739014	-86.045403
439.411926	-86.192009
440.084839	-86.480217
440.757751	-84.950867
441.430664	-83.307991
442.103577	-81.241035
442.776489	-79.975342
443.449402	-79.592155
444.122314	-80.059288
444.795227	-80.964905
445.468140	-81.754257
446.141052	-82.131599
446.813965	-82.864090
447.486877	-84.013367
448.159790	-84.863152
448.832703	-85.026802
449.505615	-84.575790
450.178528	-81.409126
450.851440	-78.210442
451.524353	-81.142998
452.197266	-81.809387
452.870178	-81.517212
453.543091	-81.331841
454.216003	-81.241005
454.888916	-80.724670
455.561829	-80.767258
456.234741	-80.001663
456.907654	-79.569206
457.580566	-79.850693
458.253479	-80.762947
458.926392	-80.576202
459.599304	-80.040405
460.272217	-79.575531
460.945129	-79.280876
461.618042	-78.306046
462.290955	-77.884567
462.963867	-77.194260
463.636780	-77.193314
464.309692	-76.762794
464.982605	-76.814644
465.655518	-76.677422
466.328430	-76.309494
467.001343	-76.660011
467.674255	-77.375038
468.347168	-77.481003
469.020081	-77.943047
469.692993	-78.673439
470.365906	-79.332390
471.038818	-80.136002
471.711731	-80.942039
472.384644	-80.726830
473.057556	-79.898239
473.730469	-78.682686
474.403381	-77.949806
475.076294	-77.605522
475.749207	-77.394432
476.422119	-76.812233
477.095032	-76.475616
477.767944	-76.759651
478.440857	-76.688683
479.113770	-76.681908
479.786682	-73.079132
480.459595	-61.615417
481.132507	-60.537331
481.805420	-70.673790
482.478333	-79.450623
483.151245	-81.266113
483.824158	-83.264809
484.497070	-83.809227
485.169983	-83.683731
485.842896	-82.791504
486.515808	-82.451073
487.188721	-82.581573
487.861633	-82.534935
488.534546	-82.348305
489.207458	-81.426636
489.880371	-80.272636
490.553284	-79.975929
491.226196	-79.391182
491.899109	-79.346756
492.572021	-78.978004
493.244934	-78.678322
493.917847	-79.019646
494.590759	-78.895485
495.263672	-79.570023
495.936584	-81.110016
496.609497	-82.295822
497.282410	-79.927979
497.955322	-77.662277
498.628235	-81.035164
499.301147	-82.975906
499.974060	-83.350655
500.646973	-85.667488
501.319885	-88.617355
501.992798	-90.586525
502.665710	-92.628586
503.338623	-92.846207
504.011536	-90.182335
504.684448	-88.375320
505.357361	-87.535797
506.030273	-85.830101
506.703186	-84.334106
507.376099	-83.600388
508.049011	-83.564400
508.721924	-83.070137
509.394836	-83.647316
510.067749	-82.124779
510.740662	-80.101051
511.413574	-80.248711
512.086487	-81.362389
512.759399	-81.704437
513.432312	-81.509567
514.105225	-81.421112
514.778137	-81.913544
515.451050	-82.943077
516.123962	-82.899376
516.796875	-82.891861
517.469788	-82.877724
518.142700	-81.324425
518.815613	-81.179924
519.488525	-79.878685
520.161438	-78.523026
520.834351	-78.415581
521.507263	-78.865524
522.180176	-78.850960
522.853088	-79.002190
523.526001	-79.665848
524.198914	-80.480858
524.871826	-81.008430
525.544739	-82.132912
526.217651	-83.973587
526.890564	-84.833717
527.563477	-85.037895
528.236389	-84.840843
528.909302	-83.893112
529.582214	-83.827019
530.255127	-84.392242
530.928040	-84.111748
531.600952	-83.692345
532.273865	-84.238670
532.946777	-83.866745
533.619690	-84.208366
534.292603	-84.277611
534.965515	-83.745308
535.638428	-82.732536
536.311340	-82.354996
536.984253	-82.505882
537.657166	-83.793640
538.330078	-84.298126
539.002991	-85.005341
539.675903	-86.300682
540.348816	-87.080276
541.021729	-86.864143
541.694641	-89.094223
542.367554	-90.443680
543.040466	-91.110718
543.713379	-89.980652
544.386292	-88.555634
545.059204	-87.942009
545.732117	-87.464027
546.405029	-87.184090
547.077942	-86.728119
547.750854	-86.707817
548.423767	-86.891968
549.096680	-86.276489
549.769592	-85.521118
550.442505	-84.957214
551.115417	-84.515778
551.788330	-84.707825
552.461243	-85.210503
553.134155	-85.126190
553.807068	-84.989204
554.479980	-85.155891
555.152893	-85.278625
555.825806	-85.305344
556.498718	-86.084282
557.171631	-87.239922
557.844543	-87.890457
558.517456	-87.818810
559.190369	-87.127800
559.863281	-87.738510
560.536194	-87.532524
561.209106	-86.962471
561.882019	-86.155418
562.554932	-85.383842
563.227844	-85.170731
563.900757	-86.007858
564.573669	-86.572830
565.246582	-85.807053
565.919495	-85.834732
566.592407	-87.397682
567.265320	-87.270699
567.938232	-85.072334
568.611145	-86.805611
569.284058	-88.185532
569.956970	-88.821640
570.629883	-87.839081
571.302795	-84.644165
571.975708	-83.170479
572.648621	-87.588745
573.321533	-91.479599
573.994446	-92.747620
574.667358	-92.606125
575.340271	-92.286110
576.013184	-91.831406
576.686096	-91.002075
577.359009	-88.851196
578.031921	-78.195999
578.704834	-69.604195
579.377747	-65.302902
580.050659	-66.185814
580.723572	-71.547356
581.396484	-78.750221
582.069397	-84.673897
582.742310	-87.358170
583.415222	-86.536369
584.088135	-86.656929
584.761047	-86.269180
585.433960	-86.754845
586.106873	-86.924858
586.779785	-86.748024
587.452698	-84.891960
588.125610	-84.262726
588.798523	-85.758972
589.471436	-88.036064
590.144348	-88.478233
590.817261	-89.562485
591.490173	-90.426567
592.163086	-91.781754
592.835999	-93.877335
593.508911	-92.427628
594.181824	-90.558395
594.854736	-89.248260
595.527649	-89.587036
596.200562	-88.891853
596.873474	-87.947075
597.546387	-87.091789
598.219299	-86.228363
598.892212	-84.099953
599.565125	-85.317680
600.238037	-87.134735
600.910950	-90.486015
601.583862	-92.520035
602.256775	-93.720306
602.929688	-93.770470
603.602600	-94.278969
604.275513	-94.305824
604.948425	-93.652168
605.621338	-92.856598
606.294250	-91.970955
606.967163	-91.245529
607.640076	-91.778534
608.312988	-91.952087
608.985901	-90.358948
609.658813	-90.111427
610.331726	-91.007797
611.004639	-91.095886
611.677551	-90.983421
612.350464	-92.096054
613.023376	-92.391716
613.696289	-91.942673
614.369202	-92.372116
615.042114	-92.676857
615.715027	-93.279259
616.387939	-94.201897
617.060852	-93.889351
617.733765	-93.542229
618.406677	-92.394646
619.079590	-92.036591
619.752502	-92.147408
620.425415	-91.706078
621.098328	-91.564491
621.771240	-89.342857
622.444153	-86.937805
623.117065	-90.089729
623.789978	-92.185806
624.462891	-93.056236
625.135803	-93.780350
625.808716	-95.212799
626.481628	-95.808067
627.154541	-96.241982
627.827454	-96.488976
628.500366	-96.824768
629.173279	-96.971748
629.846191	-95.717506
630.519104	-93.812637
631.192017	-91.412392
631.864929	-94.504646
632.537842	-97.056198
633.210754	-97.774376
633.883667	-98.297142
634.556580	-98.154388
635.229492	-97.536736
635.902405	-96.058235
636.575317	-95.698494
637.248230	-95.734779
637.921143	-95.418610
638.594055	-93.852493
639.266968	-93.018082
639.939880	-92.685287
640.612793	-91.957680
641.285706	-93.029343
641.958618	-93.947189
642.631531	-93.803230
643.304443	-94.873650
643.977356	-95.668335
644.650269	-96.636650
645.323181	-97.627785
645.996094	-96.954491
646.669006	-96.304665
647.341919	-94.979614
648.014832	-92.358582
648.687744	-86.092621
649.360657	-82.216431
650.033569	-86.695419
650.706482	-89.896858
651.379395	-89.616058
652.052307	-89.696106
652.725220	-90.788101
653.398132	-91.419121
654.071045	-91.422028
654.743958	-91.925110
655.416870	-92.129906
656.089783	-92.527222
656.762695	-93.559029
657.435608	-95.402359
658.108521	-95.458557
658.781433	-94.843102
659.454346	-92.377090
660.127258	-90.255363
660.800171	-92.304787
661.473083	-93.092690
662.145996	-94.313515
662.818909	-94.535393
663.491821	-93.899323
664.164734	-93.188324
664.837646	-92.744057
665.510559	-90.701645
666.183472	-87.618080
666.856384	-88.619949
667.529297	-91.015854
668.202209	-92.156654
668.875122	-93.598320
669.548035	-94.526657
670.220947	-95.161873
670.893860	-95.023979
671.566772	-94.890579
672.239685	-95.279922
672.912598	-94.610962
673.585510	-94.741615
674.258423	-94.607582
674.931335	-94.731064
675.604248	-94.513107
676.277161	-94.719391
676.950073	-94.748421
677.622986	-94.811699
678.295898	-94.611305
678.968811	-94.960640
679.641724	-94.387672
680.314636	-94.168510
680.987549	-93.706024
681.660461	-92.764114
682.333374	-92.482552
683.006287	-92.310936
683.679199	-91.907944
684.352112	-91.735527
685.025024	-92.660858
685.697937	-93.600662
686.370850	-93.196564
687.043762	-92.430267
687.716675	-91.665245
688.389587	-90.906937
689.062500	-90.378395
689.735413	-90.742996
690.408325	-91.096176
691.081238	-88.999748
691.754150	-91.092842
692.427063	-94.649818
693.099976	-95.562515
693.772888	-96.279900
694.445801	-96.259789
695.118713	-95.944145
695.791626	-94.849998
696.464539	-94.595589
697.137451	-94.869011
697.810364	-95.071388
698.483276	-95.535378
699.156189	-95.323456
699.829102	-96.022728
700.502014	-96.526802
701.174927	-95.829041
701.847839	-94.164734
702.520752	-92.368279
703.193665	-91.504509
703.866577	-90.642059
704.539490	-89.723213
705.212402	-89.528160
705.885315	-89.082458
706.558228	-88.817368
707.231140	-88.768173
707.904053	-89.138962
708.576965	-89.537376
709.249878	-89.917770
709.922791	-90.707283
710.595703	-91.717865
711.268616	-92.233421
711.941528	-92.198151
712.614441	-91.632355
713.287354	-92.558617
713.960266	-93.170433
714.633179	-93.318810
715.306091	-94.161118
715.979004	-94.707466
716.651917	-94.622253
717.324829	-94.680275
717.997742	-95.195183
718.670654	-95.812073
719.343567	-93.904434
720.016479	-90.984238
720.689392	-93.601616
721.362305	-94.497620
722.035217	-93.837662
722.708130	-93.533661
723.381042	-93.021233
724.053955	-92.451111
724.726868	-92.306908
725.399780	-92.026680
726.072693	-91.093208
726.745605	-90.402954
727.418518	-90.101624
728.091431	-90.224892
728.764343	-90.882339
729.437256	-90.775299
730.110168	-89.083870
730.783081	-89.730286
731.455994	-91.845360
732.128906	-91.403534
732.801819	-91.513550
733.474731	-91.610710
734.147644	-91.338997
734.820557	-90.978752
735.493469	-91.310013
736.166382	-91.636650
736.839294	-92.073639
737.512207	-92.739281
738.185120	-92.226997
738.858032	-90.697006
739.530945	-90.368980
740.203857	-90.157547
740.876770	-90.108177
741.549683	-90.107437
742.222595	-90.920128
742.895508	-91.734482
743.568420	-92.529312
744.241333	-92.787262
744.914246	-93.101295
745.587158	-92.844887
746.260071	-88.721886
746.932983	-84.897621
747.605896	-88.894753
748.278809	-94.111153
748.951721	-93.737518
749.624634	-91.564552
750.297546	-92.967361
750.970459	-91.279556
751.643372	-90.907478
752.316284	-92.410614
752.989197	-92.118149
753.662109	-92.014435
754.335022	-91.272842
755.007935	-91.322121
755.680847	-90.739204
756.353760	-91.227867
757.026672	-86.936531
757.699585	-82.599930
758.372498	-86.355064
759.045410	-89.972466
759.718323	-89.661774
760.391235	-89.934219
761.064148	-90.420372
761.737061	-89.826889
762.409973	-89.817886
763.082886	-89.163780
763.755798	-88.915131
764.428711	-88.915100
765.101624	-88.610161
765.774536	-88.258148
766.447449	-88.486305
